id,score,metric_name
0_0_3,1.0,total_score
0_1_3,0.9571428571428572,total_score
0_2_3,0.9357142857142857,total_score
0_3_3,0.9357142857142857,total_score
0_4_3,0.9785714285714285,total_score
1_0_3,1.0,total_score
1_1_3,0.9785714285714285,total_score
1_2_3,0.9571428571428572,total_score
1_3_3,0.9142857142857144,total_score
1_4_3,1.0,total_score
2_0_3,0.9785714285714285,total_score
2_1_3,0.9785714285714285,total_score
2_2_3,0.9071428571428571,total_score
2_3_3,0.9357142857142857,total_score
2_4_3,1.0,total_score
3_0_3,0.9785714285714285,total_score
3_1_3,1.0,total_score
3_2_3,0.9785714285714285,total_score
3_3_3,0.8642857142857142,total_score
3_4_3,0.9571428571428572,total_score
4_0_3,1.0,total_score
4_1_3,0.9285714285714286,total_score
4_2_3,0.9285714285714286,total_score
4_3_3,0.9357142857142857,total_score
4_4_3,1.0,total_score
0_0_6,0.9785714285714285,total_score
0_1_6,1.0,total_score
0_2_6,0.9892857142857142,total_score
0_3_6,0.8928571428571429,total_score
0_4_6,0.9785714285714285,total_score
1_0_6,0.9464285714285714,total_score
1_1_6,0.9249999999999999,total_score
1_2_6,0.9678571428571429,total_score
1_3_6,0.9249999999999999,total_score
1_4_6,1.0,total_score
2_0_6,0.9892857142857142,total_score
2_1_6,0.9892857142857142,total_score
2_2_6,0.9892857142857142,total_score
2_3_6,0.9035714285714286,total_score
2_4_6,1.0,total_score
3_0_6,0.9142857142857144,total_score
3_1_6,0.9892857142857142,total_score
3_2_6,0.9785714285714285,total_score
3_3_6,0.85,total_score
3_4_6,0.9892857142857142,total_score
4_0_6,0.9892857142857142,total_score
4_1_6,0.9892857142857142,total_score
4_2_6,0.9785714285714285,total_score
4_3_6,0.9249999999999999,total_score
4_4_6,1.0,total_score
0_0_13,0.9761904761904762,total_score
0_1_13,0.9095238095238095,total_score
0_2_13,0.9952380952380953,total_score
0_3_13,0.9285714285714286,total_score
0_4_13,0.9333333333333333,total_score
1_0_13,0.9619047619047619,total_score
1_1_13,1.0,total_score
1_2_13,0.9333333333333333,total_score
1_3_13,0.4357142857142858,total_score
1_4_13,0.14285714285714285,total_score
2_0_13,0.9428571428571428,total_score
2_1_13,0.9571428571428572,total_score
2_2_13,0.42857142857142855,total_score
2_3_13,0.9238095238095239,total_score
2_4_13,0.9619047619047619,total_score
3_0_13,0.9714285714285714,total_score
3_1_13,0.9476190476190476,total_score
3_2_13,0.9523809523809524,total_score
3_3_13,0.9238095238095239,total_score
3_4_13,0.9428571428571428,total_score
4_0_13,0.9142857142857144,total_score
4_1_13,0.880952380952381,total_score
4_2_13,0.9190476190476191,total_score
4_3_13,0.9095238095238095,total_score
4_4_13,0.9476190476190476,total_score
0_0_28,0.9037900874635569,total_score
0_1_28,0.2197521865889213,total_score
0_2_28,0.9387755102040816,total_score
0_3_28,0.9365889212827988,total_score
0_4_28,0.967201166180758,total_score
1_0_28,0.9453352769679301,total_score
1_1_28,0.09657434402332363,total_score
1_2_28,0.9759475218658892,total_score
1_3_28,0.9344023323615159,total_score
1_4_28,0.9387755102040816,total_score
2_0_28,0.9737609329446064,total_score
2_1_28,0.9256559766763849,total_score
2_2_28,0.9650145772594753,total_score
2_3_28,0.5338921282798834,total_score
2_4_28,0.9584548104956269,total_score
3_0_28,0.04919825072886297,total_score
3_1_28,0.978134110787172,total_score
3_2_28,0.9220116618075801,total_score
3_3_28,0.9278425655976676,total_score
3_4_28,0.9540816326530612,total_score
4_0_28,0.0,total_score
4_1_28,0.0,total_score
4_2_28,0.07653061224489797,total_score
4_3_28,0.9256559766763849,total_score
4_4_28,0.9365889212827988,total_score
0_0_60,0.006644518272425249,total_score
0_1_60,0.0033222591362126346,total_score
0_2_60,0.024086378737541537,total_score
0_3_60,0.025747508305647843,total_score
0_4_60,0.004152823920265788,total_score
1_0_60,0.004983388704318942,total_score
1_1_60,0.002491694352159461,total_score
1_2_60,0.002491694352159461,total_score
1_3_60,0.0008305647840531537,total_score
1_4_60,0.0016611295681063073,total_score
2_0_60,0.009966777408637884,total_score
2_1_60,0.004983388704318942,total_score
2_2_60,0.008305647840531557,total_score
2_3_60,0.002491694352159461,total_score
2_4_60,0.03820598006644519,total_score
3_0_60,0.009966777408637884,total_score
3_1_60,0.004152823920265788,total_score
3_2_60,0.0008305647840531537,total_score
3_3_60,0.004983388704318942,total_score
3_4_60,0.008305647840531557,total_score
4_0_60,0.0016611295681063073,total_score
4_1_60,0.006644518272425249,total_score
4_2_60,0.0016611295681063073,total_score
4_3_60,0.0058139534883720955,total_score
4_4_60,0.002491694352159461,total_score
0_0_120,0.0008248102936324728,total_score
0_1_120,0.007010887495875949,total_score
0_2_120,0.002062025734081152,total_score
0_3_120,0.00041240514681622646,total_score
0_4_120,0.003299241174529851,total_score
1_0_120,0.0,total_score
1_1_120,0.002062025734081152,total_score
1_2_120,0.00453645661497855,total_score
1_3_120,0.002062025734081152,total_score
1_4_120,0.002062025734081152,total_score
2_0_120,0.0024744308808973985,total_score
2_1_120,0.0012372154404486993,total_score
2_2_120,0.0103101286704058,total_score
2_3_120,0.0037116463213460976,total_score
2_4_120,0.0016496205872649256,total_score
3_0_120,0.0016496205872649256,total_score
3_1_120,0.0,total_score
3_2_120,0.007835697789508421,total_score
3_3_120,0.007010887495875949,total_score
3_4_120,0.0016496205872649256,total_score
4_0_120,0.004124051468162324,total_score
4_1_120,0.0028868360277136246,total_score
4_2_120,0.003299241174529851,total_score
4_3_120,0.0016496205872649256,total_score
4_4_120,0.002062025734081152,total_score
