pair, tag, pearson_train, pearson_eval, spearman_train, spearman_eval
acp_gen_to_commit0, acp_gen_FULL__vs__commit0_FULL, 0.8844928412411808, 0.8844928412411808, 0.9379580992210836, 0.9379580992210836
acp_gen_to_commit0, acp_gen_acp_app_gen__vs__commit0_FULL, 0.923479507960365, 0.923479507960365, 0.7356123579206247, 0.7356123579206247
acp_gen_to_commit0, acp_gen_acp_areach_gen__vs__commit0_FULL, 0.9135002783911396, 0.9135002783911396, 0.9534625892455922, 0.9534625892455922
acp_gen_to_commit0, acp_gen_acp_just_gen__vs__commit0_FULL, 0.35552072278000735, 0.35552072278000735, 0.14712247158412495, 0.14712247158412495
acp_gen_to_commit0, acp_gen_acp_land_gen__vs__commit0_FULL, 0.8844928412411807, 0.8844928412411807, 0.9379580992210836, 0.9379580992210836
acp_gen_to_commit0, acp_gen_acp_nexta_gen__vs__commit0_FULL, 0.9060733236293981, 0.9060733236293981, 0.8827348295047497, 0.8827348295047497
acp_gen_to_commit0, acp_gen_acp_prog_gen__vs__commit0_FULL, 0.8406925274614035, 0.8406925274614035, 0.6179143806533247, 0.6179143806533247
acp_gen_to_commit0, acp_gen_acp_reach_gen__vs__commit0_FULL, 0.8265093913902088, 0.8265093913902088, 0.7944613465542747, 0.7944613465542747
acp_gen_to_commit0, acp_gen_acp_val_gen__vs__commit0_FULL, 0.7179496690811537, 0.7179496690811537, 0.4707919090691998, 0.4707919090691998
acp_gen_to_gaia, acp_gen_FULL__vs__gaia_FULL, 0.9950763854512452, 0.9950763854512452, 0.9851843661437778, 0.9851843661437778
acp_gen_to_gaia, acp_gen_acp_app_gen__vs__gaia_FULL, 0.9219530599200366, 0.9219530599200366, 0.9558823529411763, 0.9558823529411763
acp_gen_to_gaia, acp_gen_acp_areach_gen__vs__gaia_FULL, 0.7887111711433739, 0.7887111711433739, 0.7717436331412896, 0.7717436331412896
acp_gen_to_gaia, acp_gen_acp_just_gen__vs__gaia_FULL, 0.057220796425035476, 0.057220796425035476, 0.057977103565244846, 0.057977103565244846
acp_gen_to_gaia, acp_gen_acp_land_gen__vs__gaia_FULL, 0.9891172500596495, 0.9891172500596495, 0.9856107606091623, 0.9856107606091623
acp_gen_to_gaia, acp_gen_acp_nexta_gen__vs__gaia_FULL, 0.9633068594759542, 0.9633068594759542, 0.9856107606091623, 0.9856107606091623
acp_gen_to_gaia, acp_gen_acp_prog_gen__vs__gaia_FULL, 0.9932261747148374, 0.9932261747148374, 0.9999999999999998, 0.9999999999999998
acp_gen_to_gaia, acp_gen_acp_reach_gen__vs__gaia_FULL, 0.6032474865447178, 0.6032474865447178, 0.3768511731740915, 0.3768511731740915
acp_gen_to_gaia, acp_gen_acp_val_gen__vs__gaia_FULL, 0.5095750631934748, 0.5095750631934748, -0.028988551782622423, -0.028988551782622423
acp_gen_to_swebench, acp_gen_FULL__vs__swebench_FULL, 0.8985197825086393, 0.933147693396471, 0.8060599359358183, 0.8827348295047497
acp_gen_to_swebench, acp_gen_acp_app_gen__vs__swebench_FULL, 0.8782262721033653, 0.9378641020016522, 0.8116794499134278, 0.7142857142857143
acp_gen_to_swebench, acp_gen_acp_areach_gen__vs__swebench_FULL, 0.5347987942510692, 0.6150813955507916, 0.6688444820557843, 0.8451542547285165
acp_gen_to_swebench, acp_gen_acp_just_gen__vs__swebench_FULL, -0.010798958756211957, -0.15741089100719408, 0.057977103565244846, -0.2571428571428571
acp_gen_to_swebench, acp_gen_acp_land_gen__vs__swebench_FULL, 0.9242698545615362, 0.8832928491082399, 0.9276336570439175, 0.8857142857142857
acp_gen_to_swebench, acp_gen_acp_nexta_gen__vs__swebench_FULL, 0.9100044250292302, 0.8005471823973282, 0.9856107606091623, 0.8285714285714286
acp_gen_to_swebench, acp_gen_acp_prog_gen__vs__swebench_FULL, 0.9671504750373888, 0.9703654957809964, 0.898645105261295, 0.7714285714285715
acp_gen_to_swebench, acp_gen_acp_reach_gen__vs__swebench_FULL, 0.4915690853354517, 0.3078425178531364, 0.3768511731740915, 0.42857142857142855
acp_gen_to_swebench, acp_gen_acp_val_gen__vs__swebench_FULL, 0.3730571001324655, 0.15156151986765398, -0.028988551782622423, -0.37142857142857144
acp_gen_to_swtbench, acp_gen_FULL__vs__swtbench_FULL, 0.9969145207281835, 0.9841771441985385, 0.9411239481143202, 0.9548637106322309
acp_gen_to_swtbench, acp_gen_acp_app_gen__vs__swtbench_FULL, 0.9905347528643936, 0.9814659533494723, 0.8116794499134277, 0.9999999999999998
acp_gen_to_swtbench, acp_gen_acp_areach_gen__vs__swtbench_FULL, 0.7360201779039195, 0.7929925657295442, 0.7715167498104596, 0.8610584002420805
acp_gen_to_swtbench, acp_gen_acp_just_gen__vs__swtbench_FULL, 0.09965490375670168, 0.2807076637023974, 0.02857142857142857, 0.46381682852195877
acp_gen_to_swtbench, acp_gen_acp_land_gen__vs__swtbench_FULL, 0.9095806275504768, 0.8881392642867276, 1.0, 0.8116794499134278
acp_gen_to_swtbench, acp_gen_acp_nexta_gen__vs__swtbench_FULL, 0.893081242082575, 0.911722360740541, 0.9428571428571428, 0.8116794499134278
acp_gen_to_swtbench, acp_gen_acp_prog_gen__vs__swtbench_FULL, 0.9955282254322048, 0.9675378897522892, 0.9428571428571428, 0.8116794499134278
acp_gen_to_swtbench, acp_gen_acp_reach_gen__vs__swtbench_FULL, 0.3671047737086315, 0.43186148544295283, 0.4857142857142857, 0.2608969660436018
acp_gen_to_swtbench, acp_gen_acp_val_gen__vs__swtbench_FULL, 0.31723530871335315, 0.43581763886599645, -0.08571428571428572, 0.23190841426097938
aime25_to_commit0, aime25_FULL__vs__commit0_FULL, 0.08497398217226075, 0.08497398217226075, 0.4328840396692357, 0.4328840396692357
aime25_to_gaia, aime25_FULL__vs__gaia_FULL, 0.015639837402276417, 0.015639837402276417, 0.17647058823529407, 0.17647058823529407
aime25_to_swebench, aime25_FULL__vs__swebench_FULL, 0.1354877820415221, 0.3380105621000729, 0.17647058823529407, 0.46381682852195866
aime25_to_swebench_bash_only, aime25_FULL__vs__swebench_bash_only_FULL, 0.0, 0.0, 0.0, 0.0
aime25_to_swebench_multimodal, aime25_FULL__vs__swebench_multimodal_FULL, -0.4180511300035326, -0.4180511300035326, -0.40583972495671383, -0.40583972495671383
aime25_to_swtbench, aime25_FULL__vs__swtbench_FULL, 0.32853756327493283, 0.312079858399528, 0.31887406960884657, 0.35294117647058815
gpqa_to_commit0, gpqa_FULL__vs__commit0_FULL, 0.8844928412411808, 0.8844928412411808, 0.9379580992210836, 0.9379580992210836
gpqa_to_commit0, gpqa_diamond__vs__commit0_FULL, 0.9144280354382611, 0.9144280354382611, 0.940403258591788, 0.940403258591788
gpqa_to_commit0, gpqa_extended__vs__commit0_FULL, 0.9135002783911399, 0.9135002783911399, 0.9534625892455922, 0.9534625892455922
gpqa_to_commit0, gpqa_main__vs__commit0_FULL, 0.9135002783911395, 0.9135002783911395, 0.9534625892455922, 0.9534625892455922
gpqa_to_swebench, gpqa_FULL__vs__swebench_FULL, 0.8985197825086394, 0.9331476933964712, 0.8060599359358183, 0.8827348295047497
gpqa_to_swebench, gpqa_diamond__vs__swebench_FULL, 0.9092286413046193, 0.9585763691849808, 0.8235294117647057, 0.8986451052612949
gpqa_to_swebench, gpqa_extended__vs__swebench_FULL, 0.971464634822843, 0.958536959875975, 0.9393364366277241, 0.9258200997725515
gpqa_to_swebench, gpqa_main__vs__swebench_FULL, 0.8985197825086393, 0.933147693396471, 0.8060599359358183, 0.8827348295047497
gpqa_to_swebench_bash_only, gpqa_FULL__vs__swebench_bash_only_FULL, 0.0, 0.0, 0.0, 0.0
gpqa_to_swebench_bash_only, gpqa_diamond__vs__swebench_bash_only_FULL, 0.0, 0.0, 0.0, 0.0
gpqa_to_swebench_bash_only, gpqa_extended__vs__swebench_bash_only_FULL, 0.0, 0.0, 0.0, 0.0
gpqa_to_swebench_bash_only, gpqa_main__vs__swebench_bash_only_FULL, 0.0, 0.0, 0.0, 0.0
gpqa_to_swebench_multimodal, gpqa_FULL__vs__swebench_multimodal_FULL, 0.9541490569553899, 0.9541490569553899, 0.8827348295047497, 0.8827348295047497
gpqa_to_swebench_multimodal, gpqa_diamond__vs__swebench_multimodal_FULL, 0.9613065721371784, 0.9613065721371784, 0.9276336570439173, 0.9276336570439173
gpqa_to_swebench_multimodal, gpqa_extended__vs__swebench_multimodal_FULL, 0.9541490569553899, 0.9541490569553899, 0.8827348295047497, 0.8827348295047497
gpqa_to_swebench_multimodal, gpqa_main__vs__swebench_multimodal_FULL, 0.9541490569553898, 0.9541490569553898, 0.8827348295047497, 0.8827348295047497
gpqa_to_swtbench, gpqa_FULL__vs__swtbench_FULL, 0.9969145207281835, 0.9841771441985386, 0.9411239481143202, 0.9548637106322309
gpqa_to_swtbench, gpqa_diamond__vs__swtbench_FULL, 0.9961885968605105, 0.9704743283533656, 0.9428571428571428, 0.8116794499134278
gpqa_to_swtbench, gpqa_extended__vs__swtbench_FULL, 0.9969145207281835, 0.9841771441985386, 0.9411239481143202, 0.9548637106322309
gpqa_to_swtbench, gpqa_main__vs__swtbench_FULL, 0.9969145207281835, 0.9841771441985386, 0.9411239481143202, 0.9548637106322309
humaneval_to_commit0, humaneval_FULL__vs__commit0_FULL, 1.0, 1.0, 1.0, 1.0
humaneval_to_gaia, humaneval_FULL__vs__gaia_FULL, 1.0, 1.0, 1.0, 1.0
humaneval_to_swebench, humaneval_FULL__vs__swebench_FULL, 1.0, 1.0, 1.0, 1.0
humaneval_to_swebench_bash_only, humaneval_FULL__vs__swebench_bash_only_FULL, 0.0, 0.0, 0.0, 0.0
humaneval_to_swebench_multimodal, humaneval_FULL__vs__swebench_multimodal_FULL, 1.0, 1.0, 1.0, 1.0
humaneval_to_swtbench, humaneval_FULL__vs__swtbench_FULL, 0.9999999999999999, 1.0, 1.0, 1.0
ifeval_to_commit0, ifeval_FULL__vs__commit0_FULL, 0.9135002783911409, 0.9135002783911409, 0.9534625892455922, 0.9534625892455922
ifeval_to_commit0, ifeval_inst_level_loose_acc__vs__commit0_FULL, 0.9135002783911395, 0.9135002783911395, 0.9534625892455922, 0.9534625892455922
ifeval_to_commit0, ifeval_inst_level_strict_acc__vs__commit0_FULL, 0.7881603609443292, 0.7881603609443292, 0.9057894597833126, 0.9057894597833126
ifeval_to_commit0, ifeval_prompt_level_loose_acc__vs__commit0_FULL, 0.9135002783911395, 0.9135002783911395, 0.9534625892455922, 0.9534625892455922
ifeval_to_commit0, ifeval_prompt_level_strict_acc__vs__commit0_FULL, 0.9135002783911395, 0.9135002783911395, 0.9534625892455922, 0.9534625892455922
ifeval_to_gaia, ifeval_FULL__vs__gaia_FULL, 0.9851869721917095, 0.9851869721917095, 0.9856107606091623, 0.9856107606091623
ifeval_to_gaia, ifeval_inst_level_loose_acc__vs__gaia_FULL, 0.9851869721917094, 0.9851869721917094, 0.9856107606091623, 0.9856107606091623
ifeval_to_gaia, ifeval_inst_level_strict_acc__vs__gaia_FULL, 0.9847166883959806, 0.9847166883959806, 0.9856107606091623, 0.9856107606091623
ifeval_to_gaia, ifeval_prompt_level_loose_acc__vs__gaia_FULL, 0.9950763854512448, 0.9950763854512448, 0.9851843661437778, 0.9851843661437778
ifeval_to_gaia, ifeval_prompt_level_strict_acc__vs__gaia_FULL, 0.9950763854512448, 0.9950763854512448, 0.9851843661437778, 0.9851843661437778
ifeval_to_swebench, ifeval_FULL__vs__swebench_FULL, 0.8800298025343037, 0.919508920379649, 0.8060599359358183, 0.8827348295047497
ifeval_to_swebench, ifeval_inst_level_loose_acc__vs__swebench_FULL, 0.8800298025343039, 0.919508920379649, 0.8060599359358183, 0.8827348295047497
ifeval_to_swebench, ifeval_inst_level_strict_acc__vs__swebench_FULL, 0.8800298025342983, 0.9195089203796449, 0.8060599359358183, 0.8827348295047497
