model,ins_id,param_id,length,format,ori,hit,num,correct,total_score
gpt-5.2,1,0,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,28,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,60,1.0,1.0,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.8214285714285714
gpt-5.2,3,0,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,60,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,120,1.0,1.0,0.8333333333333334,0.5833333333333334,1.0,0.8571428571428571
gpt-5.2,0,2,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,120,1.0,1.0,0.8333333333333334,0.5833333333333334,1.0,0.8571428571428571
gpt-5.2,1,0,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,120,1.0,1.0,1.0,1.0,0.0,0.7857142857142857
gpt-5.2,1,2,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,120,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,120,1.0,1.0,1.0,1.0,1.0,1.0
